,Dirección,Sodio,Cloro,Potasio,Nota
0,Barcelona,1.01,1.13,1.22,0.98
1,"Barcelona DIP_D_11; Dep. Sant Genís I: Saldres, 17",1.31,1.2,0.42,3.86
2,"Cornellà de Llobregat, punt 205-10; Murcia - Jaen",103.62,0.64,16.37,3.02
3,"Orígens Ter, TRIN_100; Jardines Trinitat Nova",45.12,1.11,5.32,3.93
4,St. Joan Despí TRACTDA_C2; ETAP SJD - Central 2,119.16,0.69,22.37,2.59
5,"Barcelona, punt 206-02; Plaza Comas",43.55,0.89,11.31,3.5
6,"St. Just Desvern, punt 208-01; Crta. Reial, 34",101.43,1.46,23.7,1.16
7,Sitges (Botigues) DIP_A_11; Dip. Garraf II: final Eramprunyà,122.91,0.74,21.89,2.73
8,Barcelona DIP_B_11; Dep. Montjuïc: Plaz. Europa,118.27,0.85,24.36,2.51
9,El Papiol DIP_C_01; Dip. Muntanya: Camí de la Salut,107.81,0.97,23.23,2.46
10,Esplugues de Llobregat DIP_D_13; Depósito Sant Pere Martir,88.33,0.93,16.23,3.17
11,Barcelona DIP_E_11; Delante colegio Ciutat Meridiana,33.72,1.88,1.27,2.44
12,St. Vicenç dels Horts; Calle Font del Llarguerut,89.34,0.84,18.91,2.87
13,"El Papiol, punt 212-17; Entrada polígono El Canyet",90.16,1.29,15.29,2.26
14,Gavà DIP_A_02; Dipósit Begues II: Crta. BV-2041,100.0,0.79,19.4,3.06
15,"St. Feliu de Llobregat, punt 126-SORT; ETAP Estrella - Salida Stripping",85.95,1.03,14.6,2.76
16,"Barcelona, punt 264-22; Calle K - Puente del Prat",111.71,1.32,22.59,0.99
17,"Barcelona, punt 278-36; Avd. Rasos de Peguera, 113-135",35.18,1.22,5.34,3.85
