,Dirección,Sodio,Cloro,Potasio,Nota
0,Barcelona,1.01,0.99,0.98,0.98
1,"Barcelona DIP_D_11; Dep. Sant Genís I: Saldres, 17",0.98,1.48,0.6,3.87
2,"Cornellà de Llobregat, punt 205-10; Murcia - Jaen",103.41,0.88,16.32,3.02
3,"Orígens Ter, TRIN_100; Jardines Trinitat Nova",45.22,0.92,5.41,3.97
4,St. Joan Despí TRACTDA_C2; ETAP SJD - Central 2,118.86,0.72,22.25,2.54
5,"Barcelona, punt 206-02; Plaza Comas",43.52,0.85,11.42,3.5
6,"St. Just Desvern, punt 208-01; Crta. Reial, 34",101.54,1.49,23.73,1.03
7,Sitges (Botigues) DIP_A_11; Dip. Garraf II: final Eramprunyà,123.11,0.71,22.01,2.54
8,Barcelona DIP_B_11; Dep. Montjuïc: Plaz. Europa,118.28,0.85,24.35,2.49
9,El Papiol DIP_C_01; Dip. Muntanya: Camí de la Salut,107.95,0.9,22.94,2.63
10,Esplugues de Llobregat DIP_D_13; Depósito Sant Pere Martir,88.54,0.76,16.19,2.94
11,Barcelona DIP_E_11; Delante colegio Ciutat Meridiana,33.81,1.68,1.4,2.47
12,St. Vicenç dels Horts; Calle Font del Llarguerut,89.31,0.79,19.19,2.79
13,"El Papiol, punt 212-17; Entrada polígono El Canyet",90.0,1.18,15.21,2.31
14,Gavà DIP_A_02; Dipósit Begues II: Crta. BV-2041,100.17,0.64,19.26,2.76
15,"St. Feliu de Llobregat, punt 126-SORT; ETAP Estrella - Salida Stripping",85.87,1.08,14.64,2.67
16,"Barcelona, punt 264-22; Calle K - Puente del Prat",111.9,1.46,22.61,1.09
17,"Barcelona, punt 278-36; Avd. Rasos de Peguera, 113-135",34.93,0.94,5.5,3.67
