,Dirección,Sodio,Cloro,Potasio,Nota
0,Barcelona,1.1,1.1,1.06,0.89
1,"Barcelona DIP_D_11; Dep. Sant Genís I: Saldres, 17",1.1,1.32,0.47,3.83
2,"Cornellà de Llobregat, punt 205-10; Murcia - Jaen",103.34,0.88,16.64,3.03
3,"Orígens Ter, TRIN_100; Jardines Trinitat Nova",45.22,0.85,5.49,4.05
4,St. Joan Despí TRACTDA_C2; ETAP SJD - Central 2,118.92,0.83,22.18,2.62
5,"Barcelona, punt 206-02; Plaza Comas",43.72,0.87,11.16,3.58
6,"St. Just Desvern, punt 208-01; Crta. Reial, 34",101.46,1.53,23.87,1.14
7,Sitges (Botigues) DIP_A_11; Dip. Garraf II: final Eramprunyà,123.13,0.78,22.15,2.58
8,Barcelona DIP_B_11; Dep. Montjuïc: Plaz. Europa,118.04,0.74,24.48,2.25
9,El Papiol DIP_C_01; Dip. Muntanya: Camí de la Salut,107.85,0.75,23.08,2.61
10,Esplugues de Llobregat DIP_D_13; Depósito Sant Pere Martir,88.33,0.8,16.27,3.13
11,Barcelona DIP_E_11; Delante colegio Ciutat Meridiana,33.68,1.76,1.27,2.76
12,St. Vicenç dels Horts; Calle Font del Llarguerut,89.43,0.85,19.19,3.01
13,"El Papiol, punt 212-17; Entrada polígono El Canyet",90.1,1.27,15.31,2.28
14,Gavà DIP_A_02; Dipósit Begues II: Crta. BV-2041,100.29,0.69,19.38,2.86
15,"St. Feliu de Llobregat, punt 126-SORT; ETAP Estrella - Salida Stripping",85.84,1.02,14.31,2.68
16,"Barcelona, punt 264-22; Calle K - Puente del Prat",111.59,1.45,22.7,1.1
17,"Barcelona, punt 278-36; Avd. Rasos de Peguera, 113-135",34.94,1.24,5.16,3.65
