,Dirección,Sodio,Cloro,Potasio,Nota
0,Barcelona,1.18,1.12,0.94,0.99
1,"Barcelona DIP_D_11; Dep. Sant Genís I: Saldres, 17",1.18,1.26,0.41,3.82
2,"Cornellà de Llobregat, punt 205-10; Murcia - Jaen",103.49,0.7,16.39,3.05
3,"Orígens Ter, TRIN_100; Jardines Trinitat Nova",45.36,0.84,5.43,3.92
4,St. Joan Despí TRACTDA_C2; ETAP SJD - Central 2,119.02,0.73,22.36,2.55
5,"Barcelona, punt 206-02; Plaza Comas",43.42,0.84,11.19,3.53
6,"St. Just Desvern, punt 208-01; Crta. Reial, 34",101.42,1.45,23.78,1.17
7,Sitges (Botigues) DIP_A_11; Dip. Garraf II: final Eramprunyà,122.82,0.52,21.97,2.71
8,Barcelona DIP_B_11; Dep. Montjuïc: Plaz. Europa,118.1,0.94,24.61,2.25
9,El Papiol DIP_C_01; Dip. Muntanya: Camí de la Salut,107.84,0.67,23.07,2.68
10,Esplugues de Llobregat DIP_D_13; Depósito Sant Pere Martir,88.56,0.81,16.15,3.06
11,Barcelona DIP_E_11; Delante colegio Ciutat Meridiana,33.85,1.76,1.47,2.61
12,St. Vicenç dels Horts; Calle Font del Llarguerut,89.41,0.65,19.1,3.03
13,"El Papiol, punt 212-17; Entrada polígono El Canyet",89.9,1.11,15.31,2.38
14,Gavà DIP_A_02; Dipósit Begues II: Crta. BV-2041,100.16,0.87,19.46,2.93
15,"St. Feliu de Llobregat, punt 126-SORT; ETAP Estrella - Salida Stripping",85.76,1.15,14.43,2.67
16,"Barcelona, punt 264-22; Calle K - Puente del Prat",111.68,1.43,22.71,1.05
17,"Barcelona, punt 278-36; Avd. Rasos de Peguera, 113-135",34.85,1.2,5.46,3.62
